nohup: ignoring input
Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Starting Downstream Task
Starting Downstream Task
Running context window: 7 with stride: 7 with seed: 0
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.08320, Valid Loss: 0.07205, EPS: 0.991
Epoch: 1, Train Loss: 0.05518, Valid Loss: 0.06537, EPS: 0.982
Epoch: 2, Train Loss: 0.04622, Valid Loss: 0.06461, EPS: 0.973
Epoch: 3, Train Loss: 0.04082, Valid Loss: 0.06720, EPS: 0.964
Epoch: 4, Train Loss: 0.03714, Valid Loss: 0.06583, EPS: 0.955
Epoch: 5, Train Loss: 0.03449, Valid Loss: 0.06746, EPS: 0.946
Epoch: 6, Train Loss: 0.03319, Valid Loss: 0.06647, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.03198, Valid Loss: 0.06836, EPS: 0.928
Epoch: 8, Train Loss: 0.03087, Valid Loss: 0.06846, EPS: 0.919
Epoch: 9, Train Loss: 0.03137, Valid Loss: 0.06939, EPS: 0.91
Epoch: 10, Train Loss: 0.03377, Valid Loss: 0.06755, EPS: 0.901
Epoch: 11, Train Loss: 0.03159, Valid Loss: 0.07183, EPS: 0.892
Epoch: 12, Train Loss: 0.02956, Valid Loss: 0.06955, EPS: 0.883
Epoch: 13, Train Loss: 0.02851, Valid Loss: 0.06780, EPS: 0.874
Epoch: 14, Train Loss: 0.02768, Valid Loss: 0.06347, EPS: 0.865
Epoch: 15, Train Loss: 0.02658, Valid Loss: 0.06235, EPS: 0.856
Epoch: 16, Train Loss: 0.02468, Valid Loss: 0.06383, EPS: 0.847
Epoch: 17, Train Loss: 0.02480, Valid Loss: 0.06346, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.02493, Valid Loss: 0.06270, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.02540, Valid Loss: 0.06228, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.02555, Valid Loss: 0.06199, EPS: 0.811
Epoch: 21, Train Loss: 0.02690, Valid Loss: 0.06167, EPS: 0.802
Epoch: 22, Train Loss: 0.02547, Valid Loss: 0.06180, EPS: 0.793
Epoch: 23, Train Loss: 0.02584, Valid Loss: 0.06239, EPS: 0.784
Epoch: 24, Train Loss: 0.02453, Valid Loss: 0.06275, EPS: 0.775
Epoch: 25, Train Loss: 0.02547, Valid Loss: 0.06180, EPS: 0.766
Epoch: 26, Train Loss: 0.02503, Valid Loss: 0.06224, EPS: 0.757
Epoch: 27, Train Loss: 0.02476, Valid Loss: 0.06189, EPS: 0.748
Epoch: 28, Train Loss: 0.02760, Valid Loss: 0.06151, EPS: 0.739
Epoch: 29, Train Loss: 0.02637, Valid Loss: 0.06112, EPS: 0.73
Epoch: 30, Train Loss: 0.02612, Valid Loss: 0.06266, EPS: 0.721
Epoch: 31, Train Loss: 0.02511, Valid Loss: 0.06264, EPS: 0.712
Epoch: 32, Train Loss: 0.02460, Valid Loss: 0.06307, EPS: 0.703
Epoch: 33, Train Loss: 0.02575, Valid Loss: 0.06230, EPS: 0.694
Epoch: 34, Train Loss: 0.02581, Valid Loss: 0.06274, EPS: 0.685
Epoch: 35, Train Loss: 0.02422, Valid Loss: 0.06251, EPS: 0.676
Epoch: 36, Train Loss: 0.02605, Valid Loss: 0.06217, EPS: 0.667
Epoch: 37, Train Loss: 0.02633, Valid Loss: 0.06342, EPS: 0.658
Epoch: 38, Train Loss: 0.02666, Valid Loss: 0.06207, EPS: 0.649
