Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Input shape: (C=5, H=144, W=72)
Epoch: 0, Con Train Loss 1: 4.10, Con Train Loss 2: 4.10, Train Cycle Loss: 0.0125278924, Train Loss: 8.21, Con Valid Loss 1: 4.05, Con Valid Loss 2: 4.06, Valid Cycle Loss: 0.0085232087, Validation Loss: 8.11, Learning Rate: 0.0001
Epoch: 1, Con Train Loss 1: 3.35, Con Train Loss 2: 3.35, Train Cycle Loss: 0.0061714883, Train Loss: 6.71, Con Valid Loss 1: 3.82, Con Valid Loss 2: 3.83, Valid Cycle Loss: 0.0051566262, Validation Loss: 7.66, Learning Rate: 0.0001
Epoch: 2, Con Train Loss 1: 3.15, Con Train Loss 2: 3.15, Train Cycle Loss: 0.0041753921, Train Loss: 6.31, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0041108896, Validation Loss: 7.45, Learning Rate: 0.0001
Epoch: 3, Con Train Loss 1: 3.04, Con Train Loss 2: 3.04, Train Cycle Loss: 0.0035106333, Train Loss: 6.08, Con Valid Loss 1: 3.66, Con Valid Loss 2: 3.67, Valid Cycle Loss: 0.0038146640, Validation Loss: 7.33, Learning Rate: 0.0001
Epoch: 4, Con Train Loss 1: 2.98, Con Train Loss 2: 2.98, Train Cycle Loss: 0.0032872039, Train Loss: 5.97, Con Valid Loss 1: 3.62, Con Valid Loss 2: 3.62, Valid Cycle Loss: 0.0035292540, Validation Loss: 7.25, Learning Rate: 0.0001
Epoch: 5, Con Train Loss 1: 2.94, Con Train Loss 2: 2.94, Train Cycle Loss: 0.0031558765, Train Loss: 5.88, Con Valid Loss 1: 3.60, Con Valid Loss 2: 3.61, Valid Cycle Loss: 0.0036125073, Validation Loss: 7.21, Learning Rate: 0.0001
Epoch: 6, Con Train Loss 1: 2.90, Con Train Loss 2: 2.91, Train Cycle Loss: 0.0030270546, Train Loss: 5.82, Con Valid Loss 1: 3.59, Con Valid Loss 2: 3.59, Valid Cycle Loss: 0.0034041044, Validation Loss: 7.18, Learning Rate: 0.0001
Epoch: 7, Con Train Loss 1: 2.88, Con Train Loss 2: 2.88, Train Cycle Loss: 0.0029699377, Train Loss: 5.76, Con Valid Loss 1: 3.60, Con Valid Loss 2: 3.60, Valid Cycle Loss: 0.0036152808, Validation Loss: 7.20, Learning Rate: 0.0001
Epoch: 8, Con Train Loss 1: 2.85, Con Train Loss 2: 2.85, Train Cycle Loss: 0.0029680680, Train Loss: 5.71, Con Valid Loss 1: 3.62, Con Valid Loss 2: 3.60, Valid Cycle Loss: 0.0036610785, Validation Loss: 7.23, Learning Rate: 0.0001
Epoch: 9, Con Train Loss 1: 2.83, Con Train Loss 2: 2.83, Train Cycle Loss: 0.0029961971, Train Loss: 5.66, Con Valid Loss 1: 3.62, Con Valid Loss 2: 3.61, Valid Cycle Loss: 0.0038133080, Validation Loss: 7.23, Learning Rate: 0.0001
Epoch: 10, Con Train Loss 1: 2.80, Con Train Loss 2: 2.80, Train Cycle Loss: 0.0029813981, Train Loss: 5.61, Con Valid Loss 1: 3.63, Con Valid Loss 2: 3.62, Valid Cycle Loss: 0.0038271129, Validation Loss: 7.25, Learning Rate: 0.0001
Epoch: 11, Con Train Loss 1: 2.78, Con Train Loss 2: 2.78, Train Cycle Loss: 0.0029723752, Train Loss: 5.57, Con Valid Loss 1: 3.63, Con Valid Loss 2: 3.63, Valid Cycle Loss: 0.0039507697, Validation Loss: 7.26, Learning Rate: 0.0001
Epoch: 12, Con Train Loss 1: 2.76, Con Train Loss 2: 2.76, Train Cycle Loss: 0.0029903167, Train Loss: 5.52, Con Valid Loss 1: 3.64, Con Valid Loss 2: 3.64, Valid Cycle Loss: 0.0039475799, Validation Loss: 7.28, Learning Rate: 0.0001
Epoch: 13, Con Train Loss 1: 2.74, Con Train Loss 2: 2.74, Train Cycle Loss: 0.0030056027, Train Loss: 5.48, Con Valid Loss 1: 3.67, Con Valid Loss 2: 3.66, Valid Cycle Loss: 0.0041085132, Validation Loss: 7.33, Learning Rate: 0.0001
Epoch: 14, Con Train Loss 1: 2.72, Con Train Loss 2: 2.72, Train Cycle Loss: 0.0030037388, Train Loss: 5.44, Con Valid Loss 1: 3.65, Con Valid Loss 2: 3.64, Valid Cycle Loss: 0.0041960381, Validation Loss: 7.29, Learning Rate: 0.0001
Epoch: 15, Con Train Loss 1: 2.70, Con Train Loss 2: 2.70, Train Cycle Loss: 0.0029902178, Train Loss: 5.40, Con Valid Loss 1: 3.66, Con Valid Loss 2: 3.66, Valid Cycle Loss: 0.0041327890, Validation Loss: 7.33, Learning Rate: 0.0001
